ID,Time,pos_x,pos_y,vel_x,vel_y,itv_x,itv_y,seed_x,seed_y
0.0,0.0,-1.0663265,-1.6872034,-1.5994897,4.2180085,0.0,0.0,0.0,0.0
0.0,0.01,-1.0823214,-1.6450233,-1.6234821,4.1125584,0.0,0.0,0.0,0.0
0.0,0.02,-1.0985563,-1.6038978,-1.6478344,4.0097446,0.0,0.0,0.0,0.0
0.0,0.03,-1.1150346,-1.5638003,-1.6725519,3.9095008,0.0,0.0,0.0,0.0
0.0,0.04,-1.1317601,-1.5247053,-1.6976402,3.8117633,0.0,0.0,0.0,0.0
0.0,0.05,-1.1487365,-1.4865876,-1.7231047,3.716469,0.0,0.0,0.0,0.0
0.0,0.06,-1.1659675,-1.449423,-1.7489512,3.6235573,0.0,0.0,0.0,0.0
0.0,0.07,-1.183457,-1.4131874,-1.7751856,3.5329685,0.0,0.0,0.0,0.0
0.0,0.08,-1.2012088,-1.3778577,-1.8018132,3.4446442,0.0,0.0,0.0,0.0
0.0,0.09,-1.219227,-1.3434112,-1.8288405,3.3585281,0.0,0.0,0.0,0.0
0.0,0.1,-1.2375153,-1.3098259,-1.8692448,3.6046634,-0.012971841,0.33009872,-0.30177963,1.03647
0.0,0.11,-1.2562077,-1.2737793,-1.8907975,3.3494976,0.0,0.0,0.0,0.0
0.0,0.12,-1.2751157,-1.2402843,-1.9159166,3.1832356,0.0,0.0,0.0,0.0
0.0,0.13,-1.2942749,-1.208452,-1.9430339,3.0623925,0.0,0.0,0.0,0.0
0.0,0.14,-1.3137052,-1.1778281,-1.9713686,2.9652011,0.0,0.0,0.0,0.0
0.0,0.15,-1.3334188,-1.1481761,-2.0005336,2.880756,0.0,0.0,0.0,0.0
0.0,0.16,-1.3534242,-1.1193686,-2.030339,2.803579,0.0,0.0,0.0,0.0
0.0,0.17,-1.3737276,-1.0913327,-2.0606925,2.7309105,0.0,0.0,0.0,0.0
0.0,0.18,-1.3943346,-1.0640236,-2.0915525,2.6613483,0.0,0.0,0.0,0.0
0.0,0.19,-1.4152501,-1.0374101,-2.1229005,2.59417,0.0,0.0,0.0,0.0
0.0,0.2,-1.4364791,-1.0114684,-2.1547313,2.5289934,0.0,0.0,0.0,0.0
0.0,0.21,-1.4580264,-0.98617846,-2.187046,2.4656074,0.0,0.0,0.0,0.0
0.0,0.22,-1.4798969,-0.9615224,-2.2198484,2.4038866,0.0,0.0,0.0,0.0
0.0,0.23,-1.5020953,-0.9374835,-2.2531447,2.343749,0.0,0.0,0.0,0.0
0.0,0.24,-1.5246267,-0.914046,-2.2869408,2.2851353,0.0,0.0,0.0,0.0
0.0,0.25,-1.5474961,-0.89119464,-2.3212447,2.2279966,0.0,0.0,0.0,0.0
0.0,0.26,-1.5707085,-0.86891466,-2.3162189,2.227912,0.03984417,0.055620104,-0.1530399,0.48656854
0.0,0.27,-1.5938708,-0.8466356,-2.3165083,2.366752,0.05437593,0.22235018,-0.8464178,1.1009579
0.0,0.28,-1.6170357,-0.82296807,-2.3884046,2.1825016,0.0,0.0,0.0,0.0
0.0,0.29,-1.6409198,-0.80114305,-2.4428053,2.0653985,0.0,0.0,0.0,0.0
0.0,0.3,-1.6653478,-0.780489,-2.4887342,1.9824929,0.0,0.0,0.0,0.0
0.0,0.31,-1.6902351,-0.7606641,-2.530709,1.9172953,0.0,0.0,0.0,0.0
0.0,0.32,-1.7155422,-0.74149114,-2.5709915,1.8615454,0.0,0.0,0.0,0.0
0.0,0.33,-1.7412521,-0.72287565,-2.6107173,1.8110979,0.0,0.0,0.0,0.0
0.0,0.34,-1.7673593,-0.70476466,-2.4928095,1.6288662,0.1576489,-0.13499987,-1.3514321,-0.5996666
0.0,0.35,-1.7922873,-0.68847597,-2.6093163,1.6546673,0.0,0.0,0.0,0.0
