ID,Time,pos_x,pos_y,vel_x,vel_y
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.02,1.0788214373380265,9.456965642229852,-0.7007805637971105,-0.14017561089049624
0.0,0.03,0.0,0.0,0.0,0.0
0.0,0.04,1.0748887207529254,9.455608122172928,0.6854951226397415,0.7875601594448545
0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.06,0.0,0.0,0.0,0.0
0.0,0.07,0.0,0.0,0.0,0.0
0.0,0.08,0.0,0.0,0.0,0.0
0.0,0.09,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0,0.0
0.0,0.11,0.0,0.0,0.0,0.0
0.0,0.12,0.0,0.0,0.0,0.0
0.0,0.13,0.0,0.0,0.0,0.0
0.0,0.14,0.0,0.0,0.0,0.0
0.0,0.15,0.0,0.0,0.0,0.0
0.0,0.16,0.0,0.0,0.0,0.0
0.0,0.17,0.0,0.0,0.0,0.0
0.0,0.18,0.0,0.0,0.0,0.0
0.0,0.19,0.0,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0,0.0
0.0,0.21,0.0,0.0,0.0,0.0
0.0,0.22,1.5392990258583306,9.52572210315442,0.6474654509861978,1.7178243175617522
0.0,0.23,0.0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,0.0,0.0
0.0,0.25,1.8001425819079986,9.868448429044212,-0.5212291451963345,0.6577233413115474
0.0,0.26,0.0,0.0,0.0,0.0
0.0,0.27,0.0,0.0,0.0,0.0
0.0,0.28,0.0,0.0,0.0,0.0
0.0,0.29,0.0,0.0,0.0,0.0
0.0,0.3,0.0,0.0,0.0,0.0
0.0,0.31,0.0,0.0,0.0,0.0
0.0,0.32,0.0,0.0,0.0,0.0
0.0,0.33,0.0,0.0,0.0,0.0
0.0,0.34,0.0,0.0,0.0,0.0
0.0,0.35000000000000003,0.0,0.0,0.0,0.0
0.0,0.36,0.0,0.0,0.0,0.0
0.0,0.37,0.0,0.0,0.0,0.0
0.0,0.38,0.0,0.0,0.0,0.0
0.0,0.39,0.0,0.0,0.0,0.0
0.0,0.4,0.0,0.0,0.0,0.0
0.0,0.41,0.0,0.0,0.0,0.0
0.0,0.42,0.0,0.0,0.0,0.0
0.0,0.43,0.0,0.0,0.0,0.0
0.0,0.44,0.0,0.0,0.0,0.0
0.0,0.45,0.0,0.0,0.0,0.0
0.0,0.46,0.0,0.0,0.0,0.0
0.0,0.47,0.0,0.0,0.0,0.0
0.0,0.48,0.0,0.0,0.0,0.0
0.0,0.49,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01,0.0,0.0,0.0,0.0
1.0,0.02,0.0,0.0,0.0,0.0
1.0,0.03,0.0,0.0,0.0,0.0
1.0,0.04,0.0,0.0,0.0,0.0
1.0,0.05,0.0,0.0,0.0,0.0
1.0,0.06,0.0,0.0,0.0,0.0
1.0,0.07,0.0,0.0,0.0,0.0
1.0,0.08,0.0,0.0,0.0,0.0
1.0,0.09,0.0,0.0,0.0,0.0
1.0,0.1,0.0,0.0,0.0,0.0
1.0,0.11,0.0,0.0,0.0,0.0
1.0,0.12,0.0,0.0,0.0,0.0
1.0,0.13,0.0,0.0,0.0,0.0
1.0,0.14,0.0,0.0,0.0,0.0
1.0,0.15,0.0,0.0,0.0,0.0
1.0,0.16,0.0,0.0,0.0,0.0
1.0,0.17,0.0,0.0,0.0,0.0
1.0,0.18,0.0,0.0,0.0,0.0
1.0,0.19,0.0,0.0,0.0,0.0
1.0,0.2,3.9948099324746575,1.5498541158159616,0.02398139200038896,0.8670171009942307
1.0,0.21,0.0,0.0,0.0,0.0
1.0,0.22,0.0,0.0,0.0,0.0
1.0,0.23,0.0,0.0,0.0,0.0
1.0,0.24,0.0,0.0,0.0,0.0
1.0,0.25,0.0,0.0,0.0,0.0
1.0,0.26,0.0,0.0,0.0,0.0
1.0,0.27,0.0,0.0,0.0,0.0
1.0,0.28,0.0,0.0,0.0,0.0
1.0,0.29,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,0.0,0.0
1.0,0.31,0.0,0.0,0.0,0.0
1.0,0.32,0.0,0.0,0.0,0.0
1.0,0.33,0.0,0.0,0.0,0.0
1.0,0.34,0.0,0.0,0.0,0.0
1.0,0.35000000000000003,0.0,0.0,0.0,0.0
1.0,0.36,4.508540746728325,1.276911760170222,-0.5327588036861032,1.3882501664617306
1.0,0.37,0.0,0.0,0.0,0.0
1.0,0.38,0.0,0.0,0.0,0.0
1.0,0.39,0.0,0.0,0.0,0.0
1.0,0.4,4.003331582166153,1.7144519626185049,0.5030973781675399,0.8928189412130125
1.0,0.41,0.0,0.0,0.0,0.0
1.0,0.42,4.22693362783486,1.997421519238797,0.8108698899633826,-1.8605604452146633
1.0,0.43,0.0,0.0,0.0,0.0
1.0,0.44,0.0,0.0,0.0,0.0
1.0,0.45,0.0,0.0,0.0,0.0
1.0,0.46,0.0,0.0,0.0,0.0
1.0,0.47,0.0,0.0,0.0,0.0
1.0,0.48,0.0,0.0,0.0,0.0
1.0,0.49,0.0,0.0,0.0,0.0
1.0,0.5,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.0,0.01,0.0,0.0,0.0,0.0
2.0,0.02,0.0,0.0,0.0,0.0
2.0,0.03,0.0,0.0,0.0,0.0
2.0,0.04,0.0,0.0,0.0,0.0
2.0,0.05,0.0,0.0,0.0,0.0
2.0,0.06,0.0,0.0,0.0,0.0
2.0,0.07,0.0,0.0,0.0,0.0
2.0,0.08,0.0,0.0,0.0,0.0
2.0,0.09,0.0,0.0,0.0,0.0
2.0,0.1,0.0,0.0,0.0,0.0
2.0,0.11,6.883974931162292,3.5322955088983155,-0.3281979162110868,-0.3614130944805869
2.0,0.12,0.0,0.0,0.0,0.0
2.0,0.13,0.0,0.0,0.0,0.0
2.0,0.14,0.0,0.0,0.0,0.0
2.0,0.15,0.0,0.0,0.0,0.0
2.0,0.16,0.0,0.0,0.0,0.0
2.0,0.17,7.347514295133823,3.502285100226274,-0.8132368069616734,-0.12518595906380214
2.0,0.18,0.0,0.0,0.0,0.0
2.0,0.19,0.0,0.0,0.0,0.0
2.0,0.2,0.0,0.0,0.0,0.0
2.0,0.21,0.0,0.0,0.0,0.0
2.0,0.22,0.0,0.0,0.0,0.0
2.0,0.23,0.0,0.0,0.0,0.0
2.0,0.24,0.0,0.0,0.0,0.0
2.0,0.25,0.0,0.0,0.0,0.0
2.0,0.26,0.0,0.0,0.0,0.0
2.0,0.27,0.0,0.0,0.0,0.0
2.0,0.28,0.0,0.0,0.0,0.0
2.0,0.29,6.8095015114993815,3.501523388474321,0.4404232556151205,1.3569095942908094
2.0,0.3,0.0,0.0,0.0,0.0
2.0,0.31,0.0,0.0,0.0,0.0
2.0,0.32,0.0,0.0,0.0,0.0
2.0,0.33,0.0,0.0,0.0,0.0
2.0,0.34,0.0,0.0,0.0,0.0
2.0,0.35000000000000003,0.0,0.0,0.0,0.0
2.0,0.36,0.0,0.0,0.0,0.0
2.0,0.37,0.0,0.0,0.0,0.0
2.0,0.38,0.0,0.0,0.0,0.0
2.0,0.39,0.0,0.0,0.0,0.0
2.0,0.4,7.3303261855797865,4.154702063226086,-1.1512810922916425,-0.2095220493353911
2.0,0.41,0.0,0.0,0.0,0.0
2.0,0.42,0.0,0.0,0.0,0.0
2.0,0.43,0.0,0.0,0.0,0.0
2.0,0.44,0.0,0.0,0.0,0.0
2.0,0.45,0.0,0.0,0.0,0.0
2.0,0.46,0.0,0.0,0.0,0.0
2.0,0.47,0.0,0.0,0.0,0.0
2.0,0.48,0.0,0.0,0.0,0.0
2.0,0.49,0.0,0.0,0.0,0.0
2.0,0.5,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.0,0.01,0.0,0.0,0.0,0.0
3.0,0.02,0.0,0.0,0.0,0.0
3.0,0.03,0.0,0.0,0.0,0.0
3.0,0.04,0.0,0.0,0.0,0.0
3.0,0.05,0.0,0.0,0.0,0.0
3.0,0.06,0.0,0.0,0.0,0.0
3.0,0.07,0.0,0.0,0.0,0.0
3.0,0.08,0.0,0.0,0.0,0.0
3.0,0.09,0.0,0.0,0.0,0.0
3.0,0.1,0.0,0.0,0.0,0.0
3.0,0.11,0.0,0.0,0.0,0.0
3.0,0.12,0.0,0.0,0.0,0.0
3.0,0.13,0.0,0.0,0.0,0.0
3.0,0.14,0.0,0.0,0.0,0.0
3.0,0.15,0.0,0.0,0.0,0.0
3.0,0.16,0.0,0.0,0.0,0.0
3.0,0.17,0.0,0.0,0.0,0.0
3.0,0.18,0.0,0.0,0.0,0.0
3.0,0.19,0.0,0.0,0.0,0.0
3.0,0.2,0.0,0.0,0.0,0.0
3.0,0.21,0.0,0.0,0.0,0.0
3.0,0.22,0.0,0.0,0.0,0.0
3.0,0.23,0.0,0.0,0.0,0.0
3.0,0.24,0.0,0.0,0.0,0.0
3.0,0.25,0.0,0.0,0.0,0.0
3.0,0.26,0.0,0.0,0.0,0.0
3.0,0.27,0.0,0.0,0.0,0.0
3.0,0.28,0.0,0.0,0.0,0.0
3.0,0.29,0.0,0.0,0.0,0.0
3.0,0.3,0.0,0.0,0.0,0.0
3.0,0.31,0.0,0.0,0.0,0.0
3.0,0.32,0.0,0.0,0.0,0.0
3.0,0.33,3.593940104652809,10.006370396290745,0.736912796920173,0.7666524801051018
3.0,0.34,0.0,0.0,0.0,0.0
3.0,0.35000000000000003,0.0,0.0,0.0,0.0
3.0,0.36,0.0,0.0,0.0,0.0
3.0,0.37,0.0,0.0,0.0,0.0
3.0,0.38,0.0,0.0,0.0,0.0
3.0,0.39,0.0,0.0,0.0,0.0
3.0,0.4,0.0,0.0,0.0,0.0
3.0,0.41,0.0,0.0,0.0,0.0
3.0,0.42,0.0,0.0,0.0,0.0
3.0,0.43,0.0,0.0,0.0,0.0
3.0,0.44,0.0,0.0,0.0,0.0
3.0,0.45,0.0,0.0,0.0,0.0
3.0,0.46,0.0,0.0,0.0,0.0
3.0,0.47,0.0,0.0,0.0,0.0
3.0,0.48,0.0,0.0,0.0,0.0
3.0,0.49,0.0,0.0,0.0,0.0
